MÔ TẢ                                                                                                                                                                                                                                              ,AESC        ,KLS
"Banh âm đạo Cusco Standard, kiểu chuẩn, kích thước 80 x 24 mm"                                                                                                                                                                                    ,EL041R      ,32-114-01-01
"Kẹp mang kim Crile-Wood Durogrip TC, thẳng, bước răng 0,40mm, dùng cho chỉ 4/0-6/0, dài 305mm"                                                                                                                                                    ,BM021R      ,20-646-31-07
"Khay nha khoa, gồm 3 khay đựng dụng cụ (JG393), nắp có tay xách, đặt vừa trong hộp đựng dụng cụ nha khoa JN094, kích thước 270 x 172 x 41 mm"                                                                                                     ,JG384R      ,99-999-99-99
"Banh vùng mũi Obwegeser dùng trong phẫu thuật nội nha, dài 215mm, sâu 42mm, rộng 10mm"                                                                                                                                                            ,DO407R      ,48-113-22-07
#N/A                                                                                                                                                                                                                                               ,FH811B      ,99-999-99-99
"MŨI MÀI PHÁ ROSEN HILINE XS I, ĐƯỜNG KÍNH 4MM"                                                                                                                                                                                                    ,GE407R      ,99-999-99-99
Kẹp nối dùng cho hệ thống banh Muenster                                                                                                                                                                                                            ,BV822R      ,99-999-99-99
#N/A                                                                                                                                                                                                                                               ,MN075R      ,99-999-99-99
                                                                                                                                                                                                                                                   ,FD824B      ,99-999-99-99
"Dụng cụ gặm cột sống Kerrison, kiểu mỏng, cong lên trên 130°, không có bộ phận đẩy mô, tháo rời được, dài 180mm, ngàm rộng 1mm, ngàm mở 8mm, sử dụng cùng JF120R"                                                                                 ,FK906R      ,24-979-01-07
#N/A                                                                                                                                                                                                                                               ,BT466R      ,99-999-99-99
"Banh tự giữ Weitlaner, ngàm có 5 x 6 răng hơi nhọn, dài 255mm"                                                                                                                                                                                    ,BV205R      ,09-006-15-07
"Kẹp gắp sỏi thận Randall, cong, khớp vít, dài 225mm"                                                                                                                                                                                              ,EF052R      ,31-103-22-07
"Kìm cắt chỉ thép, gập góc bên, một lưỡi có khía, mũi tù/tù, dài 120mm, cho chỉ thép có đường kính tối đa 1.2mm (chỉ cứng), 0.6mm (chỉ mềm),"                                                                                                      ,DP551R      ,11-865-12-07
"Kéo phẫu thuật Mayo-Lexer, cong, mũi tù/tù, dài 165mm"                                                                                                                                                                                            ,BC592R      ,11-311-16-07
MÀN HÌNH 3D FULL HD 32 Inch                                                                                                                                                                                                                        ,EV-000047   ,0
