CODE            ,"Item Description"
730400          ,"1/2 SIZE CONTAINER 10.48 CM, WITH SOLID BOTTOM"
730400B         ,"1/2 SIZE CONTAINER BOTTOM 8.89 CM, SOLID"
730401          ,"1/2 SIZE CONTAINER 13.34 CM, WITH SOLID BOTTOM"
730401B         ,"1/2 SIZE CONTAINER BOTTOM 12.07 CM, SOLID"
730402          ,"1/2 SIZE CONTAINER 14.92 CM, WITH SOLID BOTTOM"
730402B         ,"1/2 SIZE CONTAINER BOTTOM 13.34 CM, SOLID"
730403          ,"1/2 SIZE CONTAINER 19.69 CM, WITH SOLID BOTTOM"
730403B         ,"1/2 SIZE CONTAINER BOTTOM 18.42 CM, SOLID"
730404          ,"1/2 SIZE CONTAINER 26.04 CM, WITH SOLID BOTTOM"
730404B         ,"1/2 SIZE CONTAINER BOTTOM 24.77 CM, SOLID"
730410          ,"1/2 SIZE CONTAINER 10.48 CM, WITH PERFORATED BOTTOM"
730410B         ,"1/2 SIZE CONTAINER BOTTOM 8.89 CM, PERFORATED"
730411          ,"1/2 SIZE CONTAINER 13.34 CM, WITH PERFORATED BOTTOM"
730411B         ,"1/2 SIZE CONTAINER BOTTOM 12.07 CM, PERFORATED"
730412          ,"1/2 SIZE CONTAINER 14.92 CM, WITH PERFORATED BOTTOM"
730412B         ,"1/2 SIZE CONTAINER BOTTOM 13.34 CM, PERFORATED"
730413          ,"1/2 SIZE CONTAINER 19.69 CM, WITH PERFORATED BOTTOM"
730413B         ,"1/2 SIZE CONTAINER BOTTOM 18.42 CM, PERFORATED"
730414          ,"1/2 SIZE CONTAINER 26.04 CM, WITH PERFORATED BOTTOM"
730414B         ,"1/2 SIZE CONTAINER BOTTOM 24.77 CM, PERFORATED"
730420          ,"CONTAINER LID 1/2 SIZE, SILVER"
730423          ,"CONTAINER LID 1/2 SIZE, GOLD"
730500          ,"3/4 SIZE CONTAINER 10.80 CM, WITH SOLID BOTTOM"
730500B         ,"3/4 SIZE CONTAINER BOTTOM 8.89 CM, SOLID"
730501          ,"3/4 SIZE CONTAINER 13.34 CM, WITH SOLID BOTTOM"
730501B         ,"3/4 SIZE CONTAINER BOTTOM 12.07 CM, SOLID"
730502          ,"3/4 SIZE CONTAINER 15.24 CM, WITH SOLID BOTTOM"
730502B         ,"3/4 SIZE CONTAINER BOTTOM 13.34 CM, SOLID"
730510          ,"3/4 SIZE CONTAINER 10.80 CM, WITH PERFORATED BOTTOM"
730510B         ,"3/4 SIZE CONTAINER BOTTOM 8.89 CM, PERFORATED"
730511          ,"3/4 SIZE CONTAINER 13.34 CM, WITH PERFORATED BOTTOM"
730511B         ,"3/4 SIZE CONTAINER BOTTOM 12.07 CM, PERFORATED"
730512          ,"3/4 SIZE CONTAINER 15.24 CM, WITH PERFORATED BOTTOM"
730512B         ,"3/4 SIZE CONTAINER BOTTOM 13.34 CM, PERFORATED"
730520          ,"CONTAINER LID 3/4 SIZE, SILVER"
730524          ,"CONTAINER LID 3/4 SIZE, GREEN"
730600          ,"FULL SIZE CONTAINER 10.48 CM, WITH SOLID BOTTOM"
730600B         ,"FULL SIZE CONTAINER BOTTOM 8.89 CM, SOLID"
730601          ,"FULL SIZE CONTAINER 13.34 CM, WITH SOLID BOTTOM"
730601B         ,"FULL SIZE CONTAINER BOTTOM 12.07 CM, SOLID"
730602          ,"FULL SIZE CONTAINER 14.92 CM, WITH SOLID BOTTOM"
730602B         ,"FULL SIZE CONTAINER BOTTOM 13.34 CM, SOLID"
730603          ,"FULL SIZE CONTAINER 19.69 CM, WITH SOLID BOTTOM"
730603B         ,"FULL SIZE CONTAINER BOTTOM 18.42 CM, SOLID"
730604          ,"FULL SIZE CONTAINER 26.04 CM, WITH SOLID BOTTOM"
730604B         ,"FULL SIZE CONTAINER BOTTOM 24.77 CM, SOLID"
730610          ,"FULL SIZE CONTAINER 10.48 CM, WITH PERFORATED BOTTOM"
730610B         ,"FULL SIZE CONTAINER BOTTOM 8.89 CM, PERFORATED"
730611          ,"FULL SIZE CONTAINER 13.34 CM, WITH PERFORATED BOTTOM"
