code        ,Description                                                                                                                                                                                                                                        ,Alternative
EL041R      ,"Banh âm đạo Cusco Standard, kiểu chuẩn, kích thước 80 x 24 mm"                                                                                                                                                                                    ,32-114-01-01
BM021R      ,"Kẹp mang kim Crile-Wood Durogrip TC, thẳng, bước răng 0,40mm, dùng cho chỉ 4/0-6/0, dài 305mm"                                                                                                                                                    ,20-646-31-07
JG384R      ,"Khay nha khoa, gồm 3 khay đựng dụng cụ (JG393), nắp có tay xách, đặt vừa trong hộp đựng dụng cụ nha khoa JN094, kích thước 270 x 172 x 41 mm"                                                                                                     ,99-999-99-99
DO407R      ,"Banh vùng mũi Obwegeser dùng trong phẫu thuật nội nha, dài 215mm, sâu 42mm, rộng 10mm"                                                                                                                                                            ,48-113-22-07
GE407R      ,"MŨI MÀI PHÁ ROSEN HILINE XS I, ĐƯỜNG KÍNH 4MM"                                                                                                                                                                                                    ,99-999-99-99
BV822R      ,Kẹp nối dùng cho hệ thống banh Muenster                                                                                                                                                                                                            ,99-999-99-99
FK906R      ,"Dụng cụ gặm cột sống Kerrison, kiểu mỏng, cong lên trên 130°, không có bộ phận đẩy mô, tháo rời được, dài 180mm, ngàm rộng 1mm, ngàm mở 8mm, sử dụng cùng JF120R"                                                                                 ,24-979-01-07
BV205R      ,"Banh tự giữ Weitlaner, ngàm có 5 x 6 răng hơi nhọn, dài 255mm"                                                                                                                                                                                    ,09-006-15-07
EF052R      ,"Kẹp gắp sỏi thận Randall, cong, khớp vít, dài 225mm"                                                                                                                                                                                              ,31-103-22-07
DP551R      ,"Kìm cắt chỉ thép, gập góc bên, một lưỡi có khía, mũi tù/tù, dài 120mm, cho chỉ thép có đường kính tối đa 1.2mm (chỉ cứng), 0.6mm (chỉ mềm),"                                                                                                      ,11-865-12-07
BC592R      ,"Kéo phẫu thuật Mayo-Lexer, cong, mũi tù/tù, dài 165mm"                                                                                                                                                                                            ,11-311-16-07
EV-000047   ,MÀN HÌNH 3D FULL HD 32 Inch                                                                                                                                                                                                                        ,99-999-99-99
GF766R      ,Data Not Available                                                                                                                                                                                                                                 ,18-646-22-01
FC198R      ,DS-SINGLE FIRE APPLIER M 280MM 65Â°                                                                                                                                                                                                                ,99-999-99-99
BJ551R      ,"Kẹp tử cung Wertheim Atraumata, cong, ngàm có 2x3 hàng răng De Bakey, dài 245mm"                                                                                                                                                                  ,13-637-20-07
EB061R      ,"Que nong ống mật Bakes, dễ uốn, dài 315mm, đường kính đầu 1mm"                                                                                                                                                                                    ,31-170-01-01
BL114N      ,"Kim khâu phẫu thuật, số 14, cong, mũi tam giác, dài 23mm, đường kính 0,70mm"                                                                                                                                                                      ,99-999-99-99
FB352R      ,"Kẹp Bulldog không chấn thương De Bakey Atraumata, loại nhỏ, thẳng, ngàm có răng De Bakey, dài 50mm, ngàm dài 27mm"                                                                                                                                ,13-132-50-09
BJ073R      ,No Description Available                                                                                                                                                                                                                           ,13-495-28-07
BT323R      ,"Banh tổ chức Langenbeck, dài 210mm, kích thước ngàm 28 x 16mm"                                                                                                                                                                                    ,15-293-03-07
JK188       ,"Đáy hộp đựng và bảo quản dụng cụ phẫu thuật, cỡ nhỏ, không có lỗ thoát khí, kích thước ngoài 310 x 132 x 57mm, kích thước trong 274 x 126 x 52mm"                                                                                                 ,99-999-99-99
MA374R      ,Data Not Available                                                                                                                                                                                                                                 ,36-024-03-07
GF936R      ,"Ống hút Barron, dài 160mm, đường kính 2mm, dùng cho ống hút đường kính 8mm"                                                                                                                                                                       ,18-528-20-01
BD067R      ,"Nhíp phẫu tích Pattern Sweden, thẳng, ngàm có khía, dài 150mm"                                                                                                                                                                                    ,12-135-15-07
GE670R      ,"MŨI DOA LÒNG TỦY, ĐƯỜNG KÍNH 10MM, LẮP VỚI THÂN GE666R"                                                                                                                                                                                           ,99-999-99-99
GA418R      ,GIÁ ĐỠ KHAY                                                                                                                                                                                                                                        ,99-999-99-99
FB674R      ,Data Not Available                                                                                                                                                                                                                                 ,24-344-16-07
FF650R      ,"Dụng cụ phẫu tích tuyến yên Hardy, mũi cong sang trái, tù, cán tròn, hình lưỡi lê, dài 245mm, chiều dài hoạt động 120mm"                                                                                                                          ,99-999-99-99
EK503SU     ,"Trocar trong suốt có bóng khí dùng 1 lần, có vòng giữ, đường kính 12mm,van dùng chung cho dụng cụ từ 5-12mm, dài 100mm, hộp 5 cái"                                                                                                                ,99-999-99-99
BV380R      ,Data Not Available                                                                                                                                                                                                                                 ,15-774-00-07
BD837R      ,"Nhíp vi phẫu Yasargil, cán có lỗ, ngàm có răng 1 x 2, dài 180mm"                                                                                                                                                                                  ,24-852-72-07
EA466R      ,"Banh môn vị Benson, dài 155mm"                                                                                                                                                                                                                    ,30-519-16-07
FO160R      ,"Kẹp giữ xương Lambotte, ngàm nhỏ, linh động, có khóa cài, dài 220mm, ngàm rộng 10mm"                                                                                                                                                              ,23-749-19-07
BH957R      ,"Kẹp Amidan Schnidt, cong ít, dài 185mm"                                                                                                                                                                                                           ,39-443-19-07
FK950B      ,"Dụng cụ gặm cột sống Kerrison Noir, kiểu chuẩn, cong lên 90°, có bộ phận đẩy mô, tháo rời được, dài 180mm, ngàm rộng 3mm, ngàm mở 10mm"                                                                                                           ,24-978-18-14
FM179R      ,"Nhíp gắp mô vi phẫu Sensation, ngàm có răng, ngàm rộng 3,50mm, dài 240mm, chiều dài hoạt động 120mm"                                                                                                                                              ,99-999-99-99
GB756R      ,TAY KHOAN MÀI VI PHẪU CAO TỐC GẬP GÓC HI-LINE XS SỐ I                                                                                                                                                                                              ,99-999-99-99
PL452SU     ,DS-SINGLE FIRE LIG.CLIP S MULTI-PACK                                                                                                                                                                                                               ,99-999-99-99
FF295R      ,"Dung cụ phẫu tích thần kinh Penfield, số 5, cong nhẹ, hai đầu tù, dài 290mm, chiều rộng 2 đầu 8mm, 9mm"                                                                                                                                           ,24-690-05-07
MB803R      ,Data Not Available                                                                                                                                                                                                                                 ,12-302-11-07
GF940R      ,"Ống hút Plester, trục Luer, dài 195mm, đường kính 2mm, dùng cho ống hút đường kính 6-9mm"                                                                                                                                                         ,18-645-20-07
FB246R      ,"Dụng cụ đặt clip, cỡ lớn, gập góc 25°, cán màu cam, dài 200mm, sử dụng cho clip PL561T"                                                                                                                                                           ,09-005-62-07
FH314C      ,"Lưỡi cưa Bier, chất liệu thép mạ Crom, dài 270mm, rộng 4mm, sử dụng cùng bộ cưa FH313R"                                                                                                                                                           ,09-004-50-07
BV453R      ,Data Not Available                                                                                                                                                                                                                                 ,15-902-32-09
BM019R      ,"Kẹp mang kim Crile-Wood Durogrip TC, thẳng, bước răng 0,40mm, dùng cho chỉ 4/0-6/0, dài 200mm"                                                                                                                                                    ,20-638-20-07
DG006R      ,"Kìm nhổ răng cửa và răng nanh hàm trên Anatomica, bản rộng, số 1"                                                                                                                                                                                 ,40-001-00-07
FF080R      ,Data Not Available                                                                                                                                                                                                                                 ,24-979-28-07
BC687R      ,"Kéo phẫu tích nội soi lưỡng cực Metzenbaum Bipojet, cong, mũi tù/tù, đầu chuẩn, dài 230mm, sử dụng cùng GN084, JG885R"                                                                                                                            ,80-570-23-04
FM140R      ,"Kéo vi phẫu Sensation, thẳng, tay cầm hình lưỡi lê, cán nhựa tròn, màu xanh da trời, mũi tù/tù, dài 195mm, chiều dài sử dụng 70mm"                                                                                                                ,99-999-99-99
FH312C      ,"Lưỡi cưa Rust, chất liệu thép mạ Crom, dài 235mm, rộng 18mm, sử dụng cùng bộ cưa FH306R"                                                                                                                                                          ,09-004-49-07
FF469R      ,"Dụng cụ gặm cột sống Kerrison, cong lên, dài 200mm, ngàm rộng 5mm"                                                                                                                                                                                ,24-980-42-07
FO108R      ,"Kẹp tái định vị xương Meyer, cong, khớp vít, dài 205mm"                                                                                                                                                                                           ,09-008-50-07
GB796SU     ,ỐNG BƠM TƯỚI LÀM MÁT TAY KHOAN MÀI VI PHẪU CAO TỐC SIÊU NHỎ HI-LINE XXS SỐ II                                                                                                                                                                      ,99-999-99-99
GD724R      ,"LÖÔÕI CAÉT LIDERMANN DUØNG CHO TAY KHOAN/MAØI DOØNG HI - LINE II, DAØI 25MM"                                                                                                                                                                      ,99-999-99-99
OP380R      ,TAY CẦM DÀNH CHO KIM TIÊM PHẪU TÍCH THANH QUẢN OP 386R/                                                                                                                                                                                            ,09-009-78-07
GK140R      ,"Điện cực đơn cực hình dao, thẳng, thân ngắn, dài 20mm, đường kính 2,4mm"                                                                                                                                                                          ,80-515-08-04
GC139R      ,"LƯỠI CƯA MINI, KÍCH CỠ 25/15/0,5/0,7MM"                                                                                                                                                                                                           ,99-999-99-99
PL963R      ,"Giá giữ dụng cụ phẫu thuật nội soi, loại chuẩn, kích thước 487 x 250 x 153 mm, dùng cùng thanh gắn JF906R và JF907R"                                                                                                                              ,99-999-99-99
JF114R      ,"Khay lưới bảo quản dụng cụ phẫu thuật, loại chuẩn 1/1, có chân, kích thước 243 x 253 x 106 mm"                                                                                                                                                    ,55-804-27-01
LX222R      ,Data Not Available                                                                                                                                                                                                                                 ,22-603-06-07
BH451R      ,"Kẹp mạch máu Rochester-Pean, cong, đầu tù, dài 240mm"                                                                                                                                                                                             ,13-411-24-07
MA058R      ,Data Not Available                                                                                                                                                                                                                                 ,23-312-20-07
DP756R      ,"Dụng cụ đè chụp răng Mershon, dài 145mm"                                                                                                                                                                                                          ,46-528-01-07
GE525SU     ,"MŨI MÀI THÔ DIAMOND HI-LINE XS II, ĐƯỜNG KÍNH 3,1MM"                                                                                                                                                                                              ,99-999-99-99
MA070R      ,Data Not Available                                                                                                                                                                                                                                 ,36-391-14-07
GE417R      ,"MŨI MÀI MỊN DIAMOND HI-LINE XS I, ĐƯỜNG KÍNH 4MM"                                                                                                                                                                                                 ,99-999-99-99
FK971B      ,"Dụng cụ gặm cột sống Kerrison Noir, kiểu chuẩn, cong lên 130°, có bộ phận đẩy mô, tháo rời được, dài 180mm, ngàm rộng 1,50mm, ngàm mở 15mm, sử dụng cùng JF120R"                                                                                  ,24-978-91-14
DP787R      ,"Đầu dụng cụ tháo chụp răng, sử dụng cùng DP781R"                                                                                                                                                                                                  ,46-583-03-07
OG329R      ,"Kẹp phẫu tích tai Hough, loại nhỏ, thẳng, ngàm có khía, dài 70mm, kích thước ngàm 1 x 5 mm"                                                                                                                                                       ,99-999-99-99
OL198R      ,"Dụng cụ nạo róc Sewall, cong, đầu nhọn, dài 200mm, đầu rộng 5,90mm"                                                                                                                                                                               ,23-412-20-07
BF046R      ,"Kẹp bông băng Gross, thẳng, ngàm có khía, khớp hộp, có khóa cài, dài 200mm"                                                                                                                                                                       ,14-222-20-07
DE031R      ,"Dụng cụ trám răng, hai đầu, gập góc, tay cầm sáu cạnh, dài 170mm, đường kính hai đầu 2,0mm; 2,5mm"                                                                                                                                                ,99-999-99-99
LX205R      ,Data Not Available                                                                                                                                                                                                                                 ,22-565-16-07
DF388R      ,Đầu kèm vít của dụng cụ đục lỗ răng DF392R                                                                                                                                                                                                         ,99-999-99-99
BW099R      ,Dụng cụ nối banh với bàn mổ                                                                                                                                                                                                                        ,99-999-99-99
DH774R      ,"Kìm nhổchân răng hàm dưới Buechs Anatomica, tay cầm chạm hình vuông, số 74, đầu rộng 4,50mm"                                                                                                                                                      ,40-074-00-07
BJ014R      ,"Kẹp phẫu tích Adson (Baby), gập góc phải, dài 180mm"                                                                                                                                                                                              ,13-421-18-07
BC023R      ,"Kéo phẫu tích Metzenbaum, mảnh, cong, mũi tù/tù, cán lớn, dài 145mm"                                                                                                                                                                              ,11-255-14-07
GD034R      ,"MŨI MÀI MỊN DIAMOND ĐƯỜNG KÍNH 6.0MM, KÍCH THƯỚC CHUÔI 2.35X70MM"                                                                                                                                                                                 ,99-999-99-99
BB073R      ,"Cán dao mổ, số 3, dài 125mm"                                                                                                                                                                                                                      ,10-130-03-07
MB612R      ,"Kẹp mang kim Durogrip French Eye, dài 235mm"                                                                                                                                                                                                      ,20-650-23-07
PO223R      ,"Kẹp phẫu tích nội soi đơn cực Adtec Monopolar, thẳng, ngàm ngắn, khuyết, có khía, hoạt động đôi, dài 420mm, đường kính ngàm 5mm, sử dụng cùng PM981R, PO776R, PO959R. Cấu tạo gồm 4 phần, tay cầm và vỏ được làm từ chất liệu PEEK."              ,99-999-99-99
PV834       ,LATERAL HEIGHT-ADJ.MONTIOR ARM W/EXTENS.                                                                                                                                                                                                           ,99-999-99-99
BN010R      ,"Que thăm Doyen, cong, dài 145mm"                                                                                                                                                                                                                  ,16-175-14-01
DB342R      ,"Dụng cụ thăm khám và cạo cao răng Goldmann-Fox Anatomic Colours, cỡ GF 2, hai đầu, gập góc, tay cầm chất liệu Peek, màu xanh da trời đậm, dài 175mm"                                                                                              ,43-326-32-07
MF258R      ,"Dụng cụ nạo, số 000, dáng lưỡi lê, mũi nhọn, gập về trước, dài 215mm, chiều dài hoạt động 80mm"                                                                                                                                                   ,23-997-12-07
EJ430R      ,"Đầu nối hình nón dùng cho trocar sử dụng nhiều lần, đường kính 10mm, sử dụng cùng EJ432R; EJ750R; EJ433R"                                                                                                                                         ,99-999-99-99
